Fecha,Ingresos,Socios,Sucursal,Socios Premium
44287,732025.2,1141,Chapalita,0.4952
44317,867833,1260,Chapalita,0.4944
44348,1037971.6,1363,Chapalita,0.4982
44378,1044701.5,1473,Chapalita,0.482
44409,1170956,1608,Chapalita,0.49
44440,1478305.5,1709,Chapalita,0.4786
44470,1308232.5,1791,Chapalita,0.4941
44501,1318904.5,1762,Chapalita,0.4921
44531,1231254,1779,Chapalita,0.4885
44562,1348076.5,2072,Chapalita,0.510135135
44593,1379975.3,2097,Chapalita,0.505007153
44621,1867273.5,2182,Chapalita,0.509165903
44652,1526945.5,2199,Chapalita,0.51796271
44682,1795273.5,2358,Chapalita,0.514418999
44713,1588145,2358,Chapalita,0.511450382
44743,1671262.33,2409,Chapalita,0.519302615
44774,1766396.7,2471,Chapalita,0.516390125
44805,2330073.9,2500,Chapalita,0.5204
44835,1837676.6,2496,Chapalita,0.513221154
44866,1851416.3,2507,Chapalita,0.511368169
44896,1738976.089,2488,Chapalita,0.511655949
44927,,,Chapalita,
44958,,,Chapalita,
44986,,,Chapalita,
