Sucursal,Fecha,Ingresos,Socios,% Socios Premium,Ventas,Recomendación,De Paso,Google,Instagram,Facebook,Radio,Activación,Corporativo,Otros
NH,abr-22,487464.3,1067,0.239925023,66,36,44,8,3,2,0,0,0,2
NH,may-22,539869.6,1125,0.253333333,91,18,71,1,3,7,0,0,1,17
NH,jun-22,518267.1,1123,0.253784506,55,23,57,3,3,6,1,0,3,6
NH,jul-22,530909.8,1164,0.257731959,79,33,82,5,3,1,0,1,4,2
NH,ago-22,555233.7,1174,0.254684838,77,33,72,5,0,6,0,0,3,3
NH,sep-22,675646.1,1200,0.261666667,77,21,54,13,5,5,0,0,0,3
NH,oct-22,585756.4,1189,0.27333894,58,23,48,4,1,2,0,0,0,1
NH,nov-22,570666.3,1190,0.28487395,61,17,55,0,0,3,0,0,2,2
NH,dic-22,527752.474,1167,0.281385281,14,6,36,1,0,1,0,0,0,2
NH,ene-23,614510.3,1244,0.306270096,159,33,115,2,2,3,0,0,1,0
NH,feb-23,617981.82,1262,0.304278922,69,11,72,6,2,2,0,0,0,1
NH,mar-23,794754.47,1296,0.317901235,105,21,90,6,0,2,0,0,8,1
NH,abr-23,656803.75,1281,0.308352849,61,10,66,2,0,2,1,0,4,1
Urbania,ene-21,1222403.63,1755,0.2479,80,16,19,,2,1,,,,5
Urbania,feb-21,1332891.16,1852,0.2889,137,99,102,,16,11,4,,1,10
Urbania,mar-21,1866192.6,2013,0.3299,215,190,129,,25,21,2,,6,19
Urbania,abr-21,1647408.42,2178,0.3627,237,16,215,,4,6,,,,4
Urbania,may-21,1875802.92,2277,0.3549,183,161,116,,26,11,3,,1,22
Urbania,jun-21,1995908.2,2433,0.3703,233,133,172,,26,10,2,2,28,16
Urbania,jul-21,2166064.85,2540,0.372,182,107,122,,10,4,2,0,7,23
Urbania,ago-21,2200658.55,2655,0.374,234,114,154,,7,14,0,2,6,17
Urbania,sep-21,2423193.7,2705,0.3612,194,89,138,,2,13,0,1,5,2
Urbania,oct-21,2158406.68,2502,0.3637,1,57,146,,12,9,0,0,0,14
Urbania,nov-21,2230820.31,2712,0.3625,148,52,47,,3,3,0,0,0,133
Urbania,dic-21,2056849.16,2649,0.3635,111,64,11,,55,0,52,3,38,0
Urbania,ene-22,2232030.06,3030,0.380858086,431,166,174,1,5,33,1,0,1,9
Urbania,feb-22,2222420.64,3003,0.372960373,163,79,118,2,4,7,0,0,8,3
Urbania,mar-22,2997966.06,3134,0.38704531,260,110,186,18,12,11,0,0,7,9
Urbania,abr-22,2563796.86,3251,0.406336512,232,78,171,4,5,5,0,0,16,3
Urbania,may-22,2928993.91,3532,0.410815402,354,84,280,8,20,11,0,1,4,9
Urbania,jun-22,2719823.36,3514,0.406089926,187,4,17,1,0,0,0,0,1,284
Urbania,jul-22,2797614.26,3483,0.40683319,232,157,112,6,20,11,0,0,6,4
Urbania,ago-22,2903321.16,3471,0.408527802,195,143,167,23,15,5,0,0,9,25
Urbania,sep-22,3218151.52,3400,0.425294118,199,102,185,6,14,6,0,0,1,20
Urbania,oct-22,2682473.97,3311,0.426759287,118,59,128,8,12,1,1,0,1,15
Urbania,nov-22,2633158.16,3216,0.427860697,127,59,121,3,14,5,0,0,2,27
Urbania,dic-22,2448652.121,3087,0.432007697,45,59,116,11,4,3,0,0,1,11
Urbania,ene-23,2339747.37,2067,0.414610547,265,113,274,13,20,7,2,1,3,49
Urbania,feb-23,2403460.87,3119,0.462648285,128,61,149,6,7,3,1,1,0,15
Urbania,mar-23,3021345.21,3039,0.479104969,164,76,173,8,11,3,0,2,1,26
Urbania,abr-23,2246523.52,3004,0.47436751,113,55,116,2,9,4,0,0,4,24
Ahualulco,ene-21,91155,,,19,,,,,,,,,
Ahualulco,feb-21,86606,,,32,,,,,,,,,
Ahualulco,mar-21,93541.5,,,32,,,,,,,,,
Ahualulco,abr-21,102346,296,0.1588,48,,,,,,,,,
Ahualulco,may-21,113216,335,0.1791,39,,,,,,,,,
Ahualulco,jun-21,116178,324,0.2099,45,,,,,,,,,
Ahualulco,jul-21,127933,366,0.1913,59,,,,,,,,,
Ahualulco,ago-21,132617,358,0.1899,39,,,,,,,,,
Ahualulco,sep-21,133241,378,0.1825,33,,,,,,,,,
Ahualulco,oct-21,124650,360,0.2028,24,,,,,,,,,
Ahualulco,nov-21,148597,409,0.1711,57,,,,,,,,,
Ahualulco,dic-21,133967.5,377,0.2122,32,,,,,,,,,
Ahualulco,ene-22,164728,423,0.215130024,65,,,,,,,,,
Ahualulco,feb-22,140052,415,0.221686747,41,,,,,,,,,
Ahualulco,mar-22,155926,409,0.232273839,36,,,,,,,,,
Ahualulco,abr-22,135031,386,0.243523316,21,,,,,,,,,
Ahualulco,may-22,163864,415,0.224096386,46,,,,,,,,,
Ahualulco,jun-22,140908,427,0.208430913,41,,,,,,,,,
Ahualulco,jul-22,154420,439,0.20501139,48,,,,,,,,,
Ahualulco,ago-22,175940,460,0.204347826,54,,,,,,,,,
Ahualulco,sep-22,134539,388,0.242268041,26,,,,,,,,,
Ahualulco,oct-22,154627,415,0.228915663,49,,,,,,,,,
Ahualulco,nov-22,156152,416,0.21875,35,,,,,,,,,
Ahualulco,dic-22,174489,414,0.22,0,,,,,,,,,
Ahualulco,ene-23,174285,466,0.193133047,64,,,,,,,,,
Ahualulco,feb-23,170130,410,0.187804878,30,,,,,,,,,
Ahualulco,mar-23,173868,444,0.175675676,34,,,,,,,,,
Ahualulco,abr-23,157065,,,,,,,,,,,,
Chapalita,ene-21,264969.9,638,0.4248,155,13,182,,9,8,,,4,3
Chapalita,feb-21,410401.25,764,0.4411,157,7,201,,1,1,1,,,
Chapalita,mar-21,589566.3,964,0.4575,213,16,252,,7,13,4,,4,8
Chapalita,abr-21,732025.2,1141,0.4952,216,16,215,,4,6, , ,7,8
Chapalita,may-21,867833,1260,0.4944,178,11,214,,5,2,1,,1,4
Chapalita,jun-21,1037971.6,1363,0.4982,171,15,199,,7,1,1,1,19,2
Chapalita,jul-21,1044701.5,1473,0.482,172,14,205,,,, , ,1,2
Chapalita,ago-21,1170956,1608,0.49,195,14,233,,,, , ,3,1
Chapalita,sep-21,1478305.5,1709,0.4786,194,12,215,,1,4, , ,8,2
Chapalita,oct-21,1308232.5,1791,0.4941,177,9,173,,3,1, , ,3,
Chapalita,nov-21,1318904.5,1762,0.4921,108,3,181,,,, , ,,
Chapalita,dic-21,1231254,1779,0.4885,83,,132,,2,, ,1,1,3
Chapalita,ene-22,1348076.5,2072,0.510135135,377,91,378,0,9,12,0,0,1,12
Chapalita,feb-22,1379975.3,2097,0.505007153,128,25,150,9,1,2,0,0,2,3
Chapalita,mar-22,1867273.5,2182,0.509165903,196,79,115,10,2,10,0,0,3,48
Chapalita,abr-22,1526945.5,2199,0.51796271,171,75,75,1,4,12,0,1,1,69
